,DRB5_101,DRB5_202,DRB5_9901
HC0,,,
HC1,,,
HC2,,,
HC4,0.0,,0.031
HC5,,,
HC6,,,
HC7,,,
HC8,,,
HC9,,,
HC11,,,
HC12,,,
HC13,,,
HC14,,,
HC15,,,
HC16,,,
HC17,,,
HC18,,0.0,
HC19,,,
HC21,,,
HC22,,,
HC23,0.0,,0.0
HC24,,,
HC25,,,
HC26,,,
HC27,,,
HC28,,,
HC30,,,
HC31,,,
HC32,0.0,,0.0
HC33,,,
HC34,,,
HC35,,,
HC36,,,
HC37,,0.0,
HC38,,,
HC39,0.163,,0.353
HC40,,,
HC41,,,
HC42,,,
HC43,,,
HC44,,,
HC45,,,
HC46,,,
HC47,,,
HC48,,,
HC49,,,
HC50,,,
HC51,,,
HC52,,,
HC53,,,
HC54,,,
HC55,,,
HC56,,,
HC57,,,
HC58,,,
HC59,,0.079,
HC60,,,
HC61,,,
HC62,,,
HC63,,,
HC64,,,
HC66,,,
HC67,,,
HC68,,,
HC69,,,
HC70,,,
HC71,,,
HC72,,,
HC73,,0.0,
HC75,,0.0,
HC76,,,
HC77,0.0,,0.0
HC78,0.056,,
HC79,,,
HC80,,,
HC81,,,
HC82,,,
HC83,,,
HC84,,,
HC85,,,
HC86,,,
HC87,,,
HC88,,,
HC89,,,
HC90,,,
HC91,,,
HC92,,,
HC93,,,
HC94,,,
HC95,,,
HC96,,,
HC97,,,
HC98,,,
HC99,,,
HC100,,,
HC101,,,
HC102,,,
HC103,,,
HC104,,,
HC105,,,
HC106,,,
HC108,,,
HC109,,,
HC110,,,
HC111,,,
HC112,,,
HC113,,,
HC114,,,
HC115,0.0,,0.0
HC116,0.046,,0.056
HC117,,0.0,
HC118,,,
HC119,,,
HC120,,,
HC121,,,
HC122,,,
HC123,,,
HC124,,,
HC125,,,
HC126,,,0.039
HC128,,,
HC129,,,
HC130,,,
HC131,,,
HC132,0.0,,0.0
HC133,,,
HC134,,,
HC135,,,
HC136,,,
HC137,,,
HC138,,,
HC139,,,
HC140,,,
HC141,,,0.0
HC142,,,
HC143,,,
HC144,,,
HC145,,,
HC146,,,
HC147,,,
HC148,,,
HC149,0.052,,0.0
HC150,,,
HC151,0.561,,0.0
HC152,,,
HC153,,,
HC154,,,
HC155,,,
HC156,0.047,,0.0
HC157,,,
HC158,,,
HC159,,,
HC160,,,
HC161,,,
HC162,,,
HC163,,,
HC164,,,
HC165,,,
HC166,,,
HC167,,,
HC169,,,
HC170,,,
HC171,,,
HC172,,,
HC173,,,
HC174,,,
HC175,,,
HC176,,,
HC177,,,
HC178,,,
HC179,,,
HC180,,,
HC181,,0.084,
HC182,,,
HC183,,,
HC184,,,
HC185,,,
HC186,,,
HC187,,,
HC188,,,0.0
HC189,,,
HC190,,,
HC191,,,
HC192,,,
HC193,,,
HC194,,,
HC195,,,
HC196,,,
HC197,,,
HC198,,,
HC199,,,
HC200,,,
HC201,,,
HC202,,,
HC203,,,
HC204,,,
HC206,,,
HC207,,,
HC208,,0.066,
HC209,,,
HC210,,,
HC211,,0.036,
HC212,,,
HC213,0.0,,0.0
HC214,,,
HC215,0.0,,0.0
HC216,,,
HC217,,,
HC218,,,
HC219,0.0,,
HC220,,,
HC221,0.166,,0.124
HC222,,,
HC223,,,
HC224,,,
HC225,,,0.0
HC226,,,
HC227,,,
HC228,,0.0,
HC229,,,
HC230,,,
HC231,,,
HC233,,0.0,
HC234,,,
HC235,,,
HC237,,,
HC238,,,
HC239,,,
HC240,,,
HC241,,,
HC242,,,
HC243,,,
HC244,,,
HC245,,,
HC246,,,
HC247,,,
HC248,,,
HC249,0.031,,0.0
HC250,,,
HC251,,,
HC252,,,
HC253,,,
HC254,,,
HC255,,,
HC256,,,
HC257,,,
HC258,,,
HC259,0.0,,0.0
HC260,,,
HC261,,,
HC262,,,
HC263,,,
HC264,,,
HC265,,,
HC266,,0.0,
HC267,0.159,,0.0
HC268,,,
HC269,0.0,,0.0
HC270,,,
HC271,0.073,,0.0
HC272,,,
HC273,0.0,,0.0
HC274,,,
HC275,,,
HC276,0.0,,
HC277,,,
HC278,,,0.0
HC279,,,
HC280,,,
HC281,,,
HC282,,,
HC283,,,
HC284,,,
HC285,,,
HC286,,,
HC287,,,
HC288,0.0,,0.0
HC289,,,
HC290,,,
HC292,,,
HC293,,,
HC294,0.0,,
HC295,0.056,,0.099
HC296,,,
HC297,,,
HC298,,,
HC299,,,
HC300,,,
HC301,,,
HC302,,,
HC303,,,
HC304,,,
HC305,,,
HC306,,,
HC307,0.096,,0.272
HC308,,,
HC309,,,
HC310,,,
HC311,,,
HC312,,,
HC313,,,
HC314,,,
HC315,,0.0,
HC316,,,
HC318,,,
HC319,,,
HC320,,,
HC321,,,
HC322,,,
HC323,,,
HC324,,,
HC325,,,0.0
HC326,,,
HC327,,,
HC328,,,
HC329,0.0,,0.031
HC330,,,
HC331,,,
HC332,,0.0,
HC333,,,
HC334,,,
HC335,,,
HC336,,,
HC337,0.144,,0.553
HC338,,,
HC339,,,0.0
HC341,,,
HC342,0.0,,
HC343,,,
HC344,,,
HC345,,,
HC346,,,
HC347,,,
HC348,,,
HC349,,,
HC350,,,
HC351,,,
HC352,,,
HC353,,,
HC354,,,
HC355,,,
HC356,,,
HC357,,,
HC358,0.081,,0.256
HC359,,,
HC360,,,
HC361,,,
HC362,,,
HC363,,,
HC364,,,
HC365,,,
HC366,,,
HC367,,,
HC368,,,
HC369,,0.0,
HC370,,,
HC371,,0.0,
HC373,,,
HC374,,,
HC375,,,
HC376,,,
HC377,,,
HC378,,,
HC379,,,
HC380,,,
HC381,,,
HC382,,,
HC383,,,
HC384,,,
HC385,,,
HC386,,,
HC387,,,
HC388,,,
HC389,,,
HC390,,,
HC391,,,
HC392,0.0,,
HC393,,,
HC394,,0.0,
HC395,,,
HC396,,,
HC397,,,
HC398,,,
HC399,,0.0,
HC400,,,
HC401,,,
HC402,,0.0,
HC403,,,
HC404,0.0,,
HC406,,,
HC407,,,
HC408,,,
HC409,,,
HC411,,,
HC412,,,
HC413,0.0,,
HC414,,,
HC415,,,
HC416,,,
HC417,,,
HC418,,0.095,
HC419,,,
HC420,,,
HC421,,,
HC422,,,
HC423,,,
HC424,,,
HC425,,,
HC428,,,
HC429,,,
HC430,,,
HC431,,,
HC432,,,
HC433,,,
HC434,,,
HC435,,,
HC436,0.102,,0.088
HC437,,,
HC438,,,
HC439,,,
HC440,,,
HC441,,,
HC442,,,0.0
HC443,,,
HC444,,,
HC445,,,
